City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,igarka,67.4667,86.5833,14.9,74,40,3.02,RU,1690228837
1,hsinchu,24.8036,120.9686,30.48,88,98,1.34,TW,1690228738
2,hermanus,-34.4187,19.2345,8.89,68,0,1.88,ZA,1690228838
3,bilibino,68.0546,166.4372,10.75,95,100,0.55,RU,1690228838
4,invercargill,-46.4,168.35,7.35,87,94,4.08,NZ,1690228558
5,buka,40.8108,69.1986,26.94,22,0,2.16,UZ,1690228839
6,port-aux-francais,-49.35,70.2167,3.62,76,100,11.09,TF,1690228839
7,labrador city,52.9463,-66.9114,25.95,34,40,4.12,CA,1690228840
8,enewetak,11.3474,162.3373,28.53,77,41,7.18,MH,1690228840
9,sezanne,48.7205,3.7234,18.88,91,59,2.88,FR,1690228841
10,sinabang,2.4803,96.3801,25.85,82,15,0.27,ID,1690228841
11,kansanshi,-12.0951,26.4273,15.34,49,0,1.62,ZM,1690228603
12,bredasdorp,-34.5322,20.0403,7.58,74,0,2.17,ZA,1690228842
13,thaton,16.9206,97.3714,24.74,92,64,1.72,MM,1690228842
14,anadyr,64.75,177.4833,11.28,87,75,6.0,RU,1690228843
15,adamstown,-25.066,-130.1015,19.81,68,35,3.15,PN,1690228843
16,waitangi,-43.9535,-176.5597,12.12,98,100,2.68,NZ,1690228844
17,ushuaia,-54.8,-68.3,0.81,64,0,1.54,AR,1690228844
18,college,64.8569,-147.8028,28.04,60,40,0.0,US,1690228695
19,grytviken,-54.2811,-36.5092,-6.71,87,92,6.08,GS,1690228845
20,hasaki,35.7333,140.8333,24.06,92,84,3.07,JP,1690228845
21,olyokminsk,60.3736,120.4264,18.97,77,6,0.42,RU,1690228846
22,bethel,41.3712,-73.414,30.01,56,92,2.68,US,1690228846
23,afaahiti,-17.75,-149.2833,26.93,83,6,9.16,PF,1690228588
24,charters towers,-20.1,146.2667,9.33,93,50,3.81,AU,1690228846
25,pyrgos,37.6751,21.441,30.0,59,0,1.76,GR,1690228847
26,aykhal,66.0,111.5,13.17,92,99,2.61,RU,1690228847
27,pacific grove,36.6177,-121.9166,26.88,83,20,5.36,US,1690228806
28,nova sintra,14.8667,-24.7167,22.82,79,100,6.84,CV,1690228597
29,tazovsky,67.4667,78.7,12.92,96,86,3.25,RU,1690228848
30,petropavlovsk-kamchatsky,53.0452,158.6483,14.33,82,20,3.0,RU,1690228849
31,puerto natales,-51.7236,-72.4875,-3.14,82,100,0.25,CL,1690228849
32,ust-nera,64.5667,143.2,16.2,67,95,3.7,RU,1690228849
33,rio grande,-32.035,-52.0986,14.06,94,100,7.95,BR,1690228676
34,mahibadhoo,3.7833,72.9667,28.43,77,100,4.38,MV,1690228850
35,maua,-23.6678,-46.4614,25.89,56,6,2.3,BR,1690228605
36,alice springs,-23.7,133.8833,4.75,81,0,0.0,AU,1690228850
37,longyearbyen,78.2186,15.6401,10.91,71,75,7.72,SJ,1690228851
